county,office,district,party,candidate,votes
Ada,UNITED STATES SENATOR,NA,CON,Pro-Life,15
Adams,UNITED STATES SENATOR,NA,CON,Pro-Life,3
Bannock,UNITED STATES SENATOR,NA,CON,Pro-Life,8
Bear Lake,UNITED STATES SENATOR,NA,CON,Pro-Life,2
Benewah,UNITED STATES SENATOR,NA,CON,Pro-Life,1
Bingham,UNITED STATES SENATOR,NA,CON,Pro-Life,0
Blaine,UNITED STATES SENATOR,NA,CON,Pro-Life,0
Boise,UNITED STATES SENATOR,NA,CON,Pro-Life,1
Bonner,UNITED STATES SENATOR,NA,CON,Pro-Life,4
Bonneville,UNITED STATES SENATOR,NA,CON,Pro-Life,3
Boundary,UNITED STATES SENATOR,NA,CON,Pro-Life,1
Butte,UNITED STATES SENATOR,NA,CON,Pro-Life,1
Camas,UNITED STATES SENATOR,NA,CON,Pro-Life,0
Canyon,UNITED STATES SENATOR,NA,CON,Pro-Life,8
Caribou,UNITED STATES SENATOR,NA,CON,Pro-Life,0
Cassia,UNITED STATES SENATOR,NA,CON,Pro-Life,0
Clark,UNITED STATES SENATOR,NA,CON,Pro-Life,0
Clearwater,UNITED STATES SENATOR,NA,CON,Pro-Life,0
Custer,UNITED STATES SENATOR,NA,CON,Pro-Life,0
Elmore,UNITED STATES SENATOR,NA,CON,Pro-Life,1
Franklin,UNITED STATES SENATOR,NA,CON,Pro-Life,2
Fremont,UNITED STATES SENATOR,NA,CON,Pro-Life,1
Gem,UNITED STATES SENATOR,NA,CON,Pro-Life,5
Gooding,UNITED STATES SENATOR,NA,CON,Pro-Life,1
Idaho,UNITED STATES SENATOR,NA,CON,Pro-Life,4
Jefferson,UNITED STATES SENATOR,NA,CON,Pro-Life,1
Jerome,UNITED STATES SENATOR,NA,CON,Pro-Life,5
Kootenai,UNITED STATES SENATOR,NA,CON,Pro-Life,2
Latah,UNITED STATES SENATOR,NA,CON,Pro-Life,6
Lemhi,UNITED STATES SENATOR,NA,CON,Pro-Life,0
Lewis,UNITED STATES SENATOR,NA,CON,Pro-Life,0
Lincoln,UNITED STATES SENATOR,NA,CON,Pro-Life,0
